categoria,indicador,unidad,n_rows,years,has_2024,has_2025,share_valor_na,share_var_na
Conflicto,Ataques_Drones_EMC,eventos,1,2025,FALSE,TRUE,0,1
Conflicto,Ataques_Fuerza_Publica_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Conflicto,Ataques_Infraestructura_Civil_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Conflicto,Ataques_con_Drones,eventos,2,2024;2025,TRUE,TRUE,0,0.5
Conflicto,Enfrentamientos_entre_Grupos,eventos,2,2024;2025,TRUE,TRUE,0,0.5
Conflicto,Zonas_en_Disputa,zonas,1,2025,FALSE,TRUE,0,1
Estado,Acciones_Fuerza_Publica_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Estado,Incautaciones_Droga,kilogramos,1,2025,FALSE,TRUE,0,1
Grupos_Armados,Clan_del_Golfo_Crecimiento,porcentaje,1,2025,FALSE,TRUE,0,1
Grupos_Armados,Clan_del_Golfo_Nuevos,personas,1,2025,FALSE,TRUE,0,1
Grupos_Armados,Hombres_en_Armas,personas,1,2025,FALSE,TRUE,0,0
Grupos_Armados,Nuevos_Integrantes_A̱o,personas,1,2025,FALSE,TRUE,0,1
Grupos_Armados,Redes_de_Apoyo,personas,1,2025,FALSE,TRUE,0,0
Grupos_Armados,Total_Integrantes,personas,1,2025,FALSE,TRUE,0,0
Grupos_Armados,Variacion_Jul_Dic_2025,porcentaje,1,2025,FALSE,TRUE,0,1
Impacto_Humanitario,Afectados_Confinamiento,personas,1,2025,FALSE,TRUE,0,1
Impacto_Humanitario,Afectados_Confinamiento_Multiplicador,veces,1,2025,FALSE,TRUE,0,1
Impacto_Humanitario,Ataques_Misiones_Medicas_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Impacto_Humanitario,Desplazados_Catatumbo,personas,1,2025,FALSE,TRUE,0,1
Impacto_Humanitario,Desplazamiento_Forzado_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Impacto_Humanitario,Homicidios_Lideres_Sociales,personas,2,2024;2025,TRUE,TRUE,0,0.5
Seguridad_Ciudadana,Amenazas_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Seguridad_Ciudadana,Extorsion_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Seguridad_Ciudadana,Homicidios_Totales,casos,1,2025,FALSE,TRUE,0,0
Seguridad_Ciudadana,Hurto_Automotores_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Seguridad_Ciudadana,Hurto_Comercios_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Seguridad_Ciudadana,Hurto_Residencias_Variacion,porcentaje,1,2025,FALSE,TRUE,1,0
Seguridad_Ciudadana,Secuestro,casos,2,2024;2025,TRUE,TRUE,0,0.5
