weight_ENF,weight_DRN,weight_SEQ,scenario_id,total_score_varied,classification_varied
0.8,1.3,1,1,7.7,ROJO
0.8,1.3,1.1,2,8,ROJO
0.8,1.3,1.2,3,8.3,ROJO
0.8,1.3,1.3,4,8.600000000000001,ROJO
0.8,1.3,1.4,5,8.9,ROJO
0.8,1.4000000000000001,1,6,8,ROJO
0.8,1.4000000000000001,1.1,7,8.3,ROJO
0.8,1.4000000000000001,1.2,8,8.6,ROJO
0.8,1.4000000000000001,1.3,9,8.9,ROJO
0.8,1.4000000000000001,1.4,10,9.2,ROJO
0.8,1.5,1,11,8.3,ROJO
0.8,1.5,1.1,12,8.6,ROJO
0.8,1.5,1.2,13,8.9,ROJO
0.8,1.5,1.3,14,9.200000000000001,ROJO
0.8,1.5,1.4,15,9.5,ROJO
0.8,1.6,1,16,8.600000000000001,ROJO
0.8,1.6,1.1,17,8.9,ROJO
0.8,1.6,1.2,18,9.200000000000001,ROJO
0.8,1.6,1.3,19,9.500000000000002,ROJO
0.8,1.6,1.4,20,9.8,ROJO
0.8,1.7,1,21,8.9,ROJO
0.8,1.7,1.1,22,9.2,ROJO
0.8,1.7,1.2,23,9.5,ROJO
0.8,1.7,1.3,24,9.8,ROJO
0.8,1.7,1.4,25,10.1,ROJO
0.9,1.3,1,26,7.800000000000001,ROJO
0.9,1.3,1.1,27,8.100000000000001,ROJO
0.9,1.3,1.2,28,8.4,ROJO
0.9,1.3,1.3,29,8.700000000000001,ROJO
0.9,1.3,1.4,30,9,ROJO
0.9,1.4000000000000001,1,31,8.1,ROJO
0.9,1.4000000000000001,1.1,32,8.4,ROJO
0.9,1.4000000000000001,1.2,33,8.7,ROJO
0.9,1.4000000000000001,1.3,34,9,ROJO
0.9,1.4000000000000001,1.4,35,9.299999999999999,ROJO
0.9,1.5,1,36,8.4,ROJO
0.9,1.5,1.1,37,8.700000000000001,ROJO
0.9,1.5,1.2,38,9,ROJO
0.9,1.5,1.3,39,9.3,ROJO
0.9,1.5,1.4,40,9.6,ROJO
0.9,1.6,1,41,8.700000000000001,ROJO
0.9,1.6,1.1,42,9.000000000000002,ROJO
0.9,1.6,1.2,43,9.3,ROJO
0.9,1.6,1.3,44,9.600000000000001,ROJO
0.9,1.6,1.4,45,9.9,ROJO
0.9,1.7,1,46,9,ROJO
0.9,1.7,1.1,47,9.3,ROJO
0.9,1.7,1.2,48,9.6,ROJO
0.9,1.7,1.3,49,9.9,ROJO
0.9,1.7,1.4,50,10.2,ROJO
1,1.3,1,51,7.9,ROJO
1,1.3,1.1,52,8.200000000000001,ROJO
1,1.3,1.2,53,8.5,ROJO
1,1.3,1.3,54,8.8,ROJO
1,1.3,1.4,55,9.1,ROJO
1,1.4000000000000001,1,56,8.2,ROJO
1,1.4000000000000001,1.1,57,8.5,ROJO
1,1.4000000000000001,1.2,58,8.8,ROJO
1,1.4000000000000001,1.3,59,9.100000000000001,ROJO
1,1.4000000000000001,1.4,60,9.399999999999999,ROJO
1,1.5,1,61,8.5,ROJO
1,1.5,1.1,62,8.8,ROJO
1,1.5,1.2,63,9.1,ROJO
1,1.5,1.3,64,9.4,ROJO
1,1.5,1.4,65,9.7,ROJO
1,1.6,1,66,8.8,ROJO
1,1.6,1.1,67,9.100000000000001,ROJO
1,1.6,1.2,68,9.4,ROJO
1,1.6,1.3,69,9.700000000000001,ROJO
1,1.6,1.4,70,10,ROJO
1,1.7,1,71,9.1,ROJO
1,1.7,1.1,72,9.4,ROJO
1,1.7,1.2,73,9.7,ROJO
1,1.7,1.3,74,10,ROJO
1,1.7,1.4,75,10.299999999999999,ROJO
1.1,1.3,1,76,8,ROJO
1.1,1.3,1.1,77,8.3,ROJO
1.1,1.3,1.2,78,8.6,ROJO
1.1,1.3,1.3,79,8.9,ROJO
1.1,1.3,1.4,80,9.2,ROJO
1.1,1.4000000000000001,1,81,8.3,ROJO
1.1,1.4000000000000001,1.1,82,8.600000000000001,ROJO
1.1,1.4000000000000001,1.2,83,8.9,ROJO
1.1,1.4000000000000001,1.3,84,9.200000000000001,ROJO
1.1,1.4000000000000001,1.4,85,9.5,ROJO
1.1,1.5,1,86,8.6,ROJO
1.1,1.5,1.1,87,8.9,ROJO
1.1,1.5,1.2,88,9.2,ROJO
1.1,1.5,1.3,89,9.5,ROJO
1.1,1.5,1.4,90,9.799999999999999,ROJO
1.1,1.6,1,91,8.9,ROJO
1.1,1.6,1.1,92,9.200000000000001,ROJO
1.1,1.6,1.2,93,9.5,ROJO
1.1,1.6,1.3,94,9.8,ROJO
1.1,1.6,1.4,95,10.1,ROJO
1.1,1.7,1,96,9.2,ROJO
1.1,1.7,1.1,97,9.5,ROJO
1.1,1.7,1.2,98,9.799999999999999,ROJO
1.1,1.7,1.3,99,10.1,ROJO
1.1,1.7,1.4,100,10.399999999999999,ROJO
1.2,1.3,1,101,8.1,ROJO
1.2,1.3,1.1,102,8.4,ROJO
1.2,1.3,1.2,103,8.7,ROJO
1.2,1.3,1.3,104,9,ROJO
1.2,1.3,1.4,105,9.299999999999999,ROJO
1.2,1.4000000000000001,1,106,8.4,ROJO
1.2,1.4000000000000001,1.1,107,8.700000000000001,ROJO
1.2,1.4000000000000001,1.2,108,9,ROJO
1.2,1.4000000000000001,1.3,109,9.3,ROJO
1.2,1.4000000000000001,1.4,110,9.6,ROJO
1.2,1.5,1,111,8.7,ROJO
1.2,1.5,1.1,112,9,ROJO
1.2,1.5,1.2,113,9.299999999999999,ROJO
1.2,1.5,1.3,114,9.6,ROJO
1.2,1.5,1.4,115,9.899999999999999,ROJO
1.2,1.6,1,116,9,ROJO
1.2,1.6,1.1,117,9.3,ROJO
1.2,1.6,1.2,118,9.6,ROJO
1.2,1.6,1.3,119,9.9,ROJO
1.2,1.6,1.4,120,10.2,ROJO
1.2,1.7,1,121,9.299999999999999,ROJO
1.2,1.7,1.1,122,9.6,ROJO
1.2,1.7,1.2,123,9.899999999999999,ROJO
1.2,1.7,1.3,124,10.2,ROJO
1.2,1.7,1.4,125,10.499999999999998,ROJO
